"","TRIPS","SO","SKI","I","FC3","C1","C3","C4"
"1",0,0,1,4,0,67.5899963378906,68.620002746582,76.8000030517578
"2",0,0,0,9,0,68.8600006103516,70.9359970092773,84.7799987792969
"3",0,0,1,5,0,58.1199989318848,59.4650001525879,72.1100006103516
"4",0,0,0,2,0,15.789999961853,13.75,23.6800003051758
"5",0,0,1,3,0,24.0200004577637,34.0330009460449,34.5470008850098
"6",0,0,1,5,0,129.460006713867,137.376998901367,137.850006103516
"7",0,0,0,1,0,30.1299991607666,42.4500007629395,44.0999984741211
"8",0,0,1,5,0,31.2900009155273,36.7900009155273,24.7999992370605
"9",0,0,0,2,0,127.639999389648,127.570999145508,134.669998168945
"10",0,2,0,3,0,24.7099990844727,29.9449996948242,28.0699996948242
"11",0,0,0,2,0,32.1500015258789,41.3580017089844,41.8569984436035
"12",0,0,1,2,0,17.8999996185303,32.3930015563965,28.7900009155273
"13",0,0,0,2,0,97.2799987792969,111.763999938965,97.1660003662109
"14",0,0,0,1,0,21.4599990844727,11.9230003356934,24.2800006866455
"15",0,0,1,4,0,129.309997558594,137.679992675781,130.399993896484
"16",0,0,1,5,0,39,53.4930000305176,49.8899993896484
"17",0,0,0,3,0,37.3600006103516,47.1829986572266,40.1800003051758
"18",0,0,0,1,0,17.6700000762939,23.3390007019043,16.0900001525879
"19",0,0,0,3,0,15.5600004196167,25.4419994354248,15.1000003814697
"20",0,0,1,5,0,28.1900005340576,34.1500015258789,23.2800006866455
"21",0,0,1,6,0,30.5699996948242,36.6829986572266,29.5
"22",0,0,1,7,0,147.669998168945,154.022003173828,147.177993774414
"23",0,0,1,2,0,28.4099998474121,29.0090007781982,34.9000015258789
"24",0,0,0,4,0,52.2999992370605,52.4539985656738,57.5999984741211
"25",0,0,0,3,0,19.5200004577637,29.5330009460449,30.0470008850098
"26",0,0,0,2,0,36.0699996948242,40.5830001831055,28.6000003814697
"27",0,0,0,4,0,102.360000610352,104.501998901367,98.7379989624023
"28",0,0,0,5,0,35.5299987792969,41.6940002441406,25.6469993591309
"29",0,0,1,4,0,37.0299987792969,49.3499984741211,51
"30",0,0,0,5,0,53.1300010681152,54.6129989624023,59.7999992370605
"31",0,0,0,3,0,78.0899963378906,94.6999969482422,89.254997253418
"32",0,0,0,2,0,25.5599994659424,28.4169998168945,33.8800010681152
"33",0,0,0,4,0,28.5,32.8730010986328,23.1469993591309
"34",0,0,0,4,0,23.2700004577637,38.9039993286133,35
"35",0,0,0,1,0,18.8700008392334,34.5040016174316,30.6000003814697
"36",0,0,0,3,0,38.939998626709,50.3419990539551,42.2000007629395
"37",0,0,1,3,0,64.129997253418,70.2939987182617,57.9000015258789
"38",0,0,1,4,0,44.189998626709,34.75,48.6800003051758
"39",0,0,1,1,0,230.039993286133,216.419998168945,226.619995117188
"40",0,0,1,6,0,104.540000915527,109.319999694824,98.0800018310547
"41",0,0,1,5,0,51.9500007629395,71.75,44.2200012207031
"42",0,0,0,3,0,48.310001373291,51.1069984436035,47.5670013427734
"43",0,0,0,3,0,28.8299999237061,29.6140003204346,36.5289993286133
"44",0,0,0,2,0,38.7900009155273,45.7249984741211,38.7669982910156
"45",0,0,0,3,0,104.540000915527,106.419998168945,97.879997253418
"46",0,0,1,3,0,17.2000007629395,22.6000003814697,10.1999998092651
"47",0,0,0,4,0,86.3499984741211,86.8570022583008,81.1600036621094
"48",0,0,1,3,0,31.8500003814697,35.125,26.3500003814697
"49",0,3,1,4,0,33.5900001525879,39.0900001525879,27.9799995422363
"50",0,0,1,4,0,71.9300003051758,73.6940002441406,68.6470031738281
"51",0,0,0,7,0,65.1600036621094,68.677001953125,62.0999984741211
"52",0,0,0,2,0,30.3899993896484,44.617000579834,30.2800006866455
"53",0,0,0,4,0,116.849998474121,120.125,112.754997253418
"54",0,0,0,3,0,43.2799987792969,46.3660011291504,36.9169998168945
"55",0,0,1,5,0,28.5599994659424,33.685001373291,23.8400001525879
"56",0,0,0,3,0,69.0699996948242,71.8970031738281,64.0400009155273
"57",0,0,1,5,0,39.9799995422363,43.0660018920898,35.3460006713867
"58",0,0,0,9,0,4.34000015258789,7.53000020980835,6.40000009536743
"59",0,0,0,4,0,103.680000305176,105.733001708984,97.9800033569336
"60",0,0,1,3,0,138.279998779297,143.723999023438,127.199996948242
"61",0,3,1,8,0,34.189998626709,37.5670013427734,29.8899993896484
"62",0,1,0,3,0,18.6900005340576,19.8999996185303,14.6199998855591
"63",0,0,1,9,0,143.080001831055,148.033004760742,137.766998291016
"64",0,0,1,4,0,45,47.7700004577637,42.9300003051758
"65",0,0,1,3,0,30.3600006103516,40.8209991455078,33.2900009155273
"66",0,0,0,3,0,30.1399993896484,35.75,19.367000579834
"67",0,0,0,7,0,37.7999992370605,40.3549995422363,33.7350006103516
"68",0,0,1,9,0,54.2400016784668,60.2799987792969,51.1599998474121
"69",0,0,1,3,0,30.7000007629395,39.4830017089844,32.4799995422363
"70",0,0,1,9,0,50.8699989318848,51.693000793457,48.6669998168945
"71",0,0,0,7,0,68.0599975585938,70.2020034790039,64.4380035400391
"72",0,0,1,3,0,51.1399993896484,55.9199981689453,44.6800003051758
"73",0,1,0,4,0,61.9700012207031,66.3130035400391,57.8600006103516
"74",0,0,0,3,0,55.189998626709,57.3300018310547,51.4799995422363
"75",0,1,0,7,0,356.720001220703,358.162994384766,350.390014648438
"76",0,0,1,4,0,31.4500007629395,41.5330009460449,28.1499996185303
"77",0,5,1,5,0,19.0499992370605,22.7369995117188,14.4049997329712
"78",0,3,1,8,0,38.9199981689453,49.6669998168945,29.25
"79",0,0,1,3,0,67.8499984741211,78.4570007324219,61.5800018310547
"80",0,0,1,9,0,50.5099983215332,53.306999206543,46.1699981689453
"81",0,0,0,1,0,44.689998626709,49.6500015258789,39.5800018310547
"82",0,0,0,3,0,49.3699989318848,53.882999420166,43.9469985961914
"83",0,0,0,1,0,66.5,71.9000015258789,60.7000007629395
"84",0,0,0,5,0,53.2700004577637,62.4339981079102,45.5750007629395
"85",0,0,0,1,0,28.9599990844727,37.6829986572266,26.6469993591309
"86",0,0,1,6,0,182.960006713867,196.45100402832,176.917007446289
"87",0,0,0,3,0,87.5599975585938,100.147003173828,87.8399963378906
"88",0,0,0,4,0,51.8899993896484,67.0699996948242,47.1599998474121
"89",0,0,0,4,0,24.6299991607666,34.75,17.4799995422363
"90",0,0,0,3,0,349.059997558594,357.140014648438,343.920013427734
"91",0,0,1,5,0,28.8099994659424,33.3769989013672,23.8999996185303
"92",0,0,0,3,0,67.0400009155273,80.2070007324219,67.3600006103516
"93",0,0,1,5,0,62.1500015258789,65.556999206543,57.1599998474121
"94",0,0,0,4,0,214.529998779297,202.050003051758,207.559997558594
"95",0,0,0,3,0,149.179992675781,164.761993408203,139.399993896484
"96",0,0,0,5,0,131.440002441406,145.880004882812,123.959999084473
"97",0,0,0,1,0,47.5499992370605,55.3600006103516,45.2400016784668
"98",0,0,0,6,0,28.4500007629395,39.1640014648438,25.0370006561279
"99",0,0,0,3,0,59.9099998474121,69.1600036621094,56.7470016479492
"100",0,0,1,2,0,67.0199966430664,78.1470031738281,70.0599975585938
"101",0,0,1,7,0,39.1599998474121,45.7770004272461,37.8899993896484
"102",0,0,0,3,0,83.1399993896484,97.0660018920898,82.588996887207
"103",0,0,0,3,0,78.0400009155273,91.2070007324219,78.3600006103516
"104",0,0,0,3,0,49.3499984741211,59.9799995422363,49.5890007019043
"105",0,0,0,6,0,31.4899997711182,42.3880004882812,34.2569999694824
"106",0,0,0,3,0,53.2099990844727,58.2400016784668,50.4799995422363
"107",0,0,0,3,0,71.6100006103516,84.5270004272461,71.0869979858398
"108",0,0,0,1,0,31.1200008392334,44.867000579834,31.4799995422363
"109",0,0,0,3,0,102.050003051758,112.680000305176,102.289001464844
"110",0,0,0,1,0,25.2299995422363,30.5400009155273,25.3400001525879
"111",0,0,1,3,0,64.0899963378906,84.7699966430664,63.3199996948242
"112",0,0,0,4,0,21.3400001525879,31.6499996185303,21.6000003814697
"113",0,0,0,4,0,41.1300010681152,52.132999420166,41.4269981384277
"114",0,0,0,2,0,32.2999992370605,43.6500015258789,32.5089988708496
"115",0,0,0,4,0,33.2599983215332,40.1269989013672,33.7999992370605
"116",0,0,0,4,0,17.3700008392334,28.121000289917,20.5900001525879
"117",0,3,0,6,0,42.5200004577637,46.3129997253418,37.1269989013672
"118",0,0,0,2,0,49.3499984741211,59.9799995422363,48.4889984130859
"119",0,0,0,1,0,19.3199996948242,30.25,20.1299991607666
"120",0,0,0,4,0,45.0999984741211,44.6059989929199,55.4469985961914
"121",0,0,0,3,0,19.4099998474121,29.9750003814697,22.0550003051758
"122",0,0,0,4,0,81.8899993896484,86.2900009155273,74.3000030517578
"123",0,0,1,4,0,45.1100006103516,46.5900001525879,51.939998626709
"124",0,0,0,4,0,15.1400003433228,26.8880004882812,18.7569999694824
